STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,isco08,International Standard Classification of Occupations 2008 (ISCO-08),sex,Sex,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,BA,Bosnia and Herzegovina,2016,,1097,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,BA,Bosnia and Herzegovina,2017,,1119,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,BA,Bosnia and Herzegovina,2018,,1100,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,BA,Bosnia and Herzegovina,2019,,1095,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,BA,Bosnia and Herzegovina,2020,,1094,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,BA,Bosnia and Herzegovina,2021,,1163,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,BA,Bosnia and Herzegovina,2022,,1058,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,BA,Bosnia and Herzegovina,2023,,1014,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,BE,Belgium,2010,,2460,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,BE,Belgium,2011,,2442,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,BE,Belgium,2012,,2452,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,BE,Belgium,2013,,2425,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,BE,Belgium,2014,,2486,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,BE,Belgium,2015,,2455,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,BE,Belgium,2017,,1617,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,BE,Belgium,2018,,1584,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,BE,Belgium,2019,,1581,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,BE,Belgium,2020,,1543,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,BG,Bulgaria,2013,,2188,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,BG,Bulgaria,2014,,2201,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,BG,Bulgaria,2015,,2225,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,BG,Bulgaria,2016,,2255,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,BG,Bulgaria,2017,,2235,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,BG,Bulgaria,2018,,2223,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,BG,Bulgaria,2019,,2215,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,BG,Bulgaria,2020,,2185,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,BG,Bulgaria,2021,,2192,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,BG,Bulgaria,2022,,2188,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,BG,Bulgaria,2023,,2234,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,CH,Switzerland,2008,,1229,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,CH,Switzerland,2009,,1089,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,CH,Switzerland,2010,,1142,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,CH,Switzerland,2012,,1271,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,CH,Switzerland,2016,,1251,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,CH,Switzerland,2018,,1224,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,CH,Switzerland,2020,,1303,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,CY,Cyprus,2008,,99,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,CY,Cyprus,2009,,97,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,CY,Cyprus,2010,,104,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,CY,Cyprus,2011,,100,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,CY,Cyprus,2012,,102,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,CY,Cyprus,2013,,103,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,CY,Cyprus,2014,,101,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,CY,Cyprus,2015,,113,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,CY,Cyprus,2016,,111,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,CY,Cyprus,2017,,119,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,CY,Cyprus,2018,,118,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,CY,Cyprus,2019,,61,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,CY,Cyprus,2020,,67,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,CY,Cyprus,2021,,64,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,CY,Cyprus,2022,,70,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,CY,Cyprus,2023,,71,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,CZ,Czechia,2008,,3044,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,CZ,Czechia,2009,,3029,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,CZ,Czechia,2010,,3063,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,CZ,Czechia,2011,,3048,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,CZ,Czechia,2012,,3055,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,CZ,Czechia,2013,,776,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,CZ,Czechia,2014,,762,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,CZ,Czechia,2015,,764,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,CZ,Czechia,2016,,754,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,CZ,Czechia,2017,,763,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,CZ,Czechia,2018,,761,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,CZ,Czechia,2019,,760,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,CZ,Czechia,2020,,756,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,CZ,Czechia,2021,,756,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,CZ,Czechia,2022,,744,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,CZ,Czechia,2023,,744,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,DE,Germany,2008,,20101,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,DE,Germany,2010,,20410.7,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,DE,Germany,2012,,20382.12,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,DE,Germany,2014,,20301,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,DE,Germany,2016,,20739,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,DE,Germany,2018,,21339,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,DE,Germany,2020,,21943,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,DE,Germany,2022,,22008,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,DK,Denmark,2008,,777,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,DK,Denmark,2009,,843,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,DK,Denmark,2010,,877,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,DK,Denmark,2011,,817,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,DK,Denmark,2012,,831,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,DK,Denmark,2013,,789,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,DK,Denmark,2014,,777,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,DK,Denmark,2015,,767,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,DK,Denmark,2016,,765,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,DK,Denmark,2017,,759,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,DK,Denmark,2018,,714,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,DK,Denmark,2019,,604,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,DK,Denmark,2020,,635,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,DK,Denmark,2021,,647,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,DK,Denmark,2022,,666,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,DK,Denmark,2023,,670,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,EE,Estonia,2008,,237,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,EE,Estonia,2009,,231,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,EE,Estonia,2010,,224,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,EE,Estonia,2011,,221,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,EE,Estonia,2012,,228,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,EE,Estonia,2013,,226,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,EE,Estonia,2014,,230,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,EE,Estonia,2015,,234,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,EE,Estonia,2016,,215,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,EE,Estonia,2017,,230,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,EE,Estonia,2018,,236,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,EE,Estonia,2019,,234,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,EE,Estonia,2020,,242,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,EE,Estonia,2021,,248,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,EE,Estonia,2022,,245,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,EE,Estonia,2023,,246,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,EL,Greece,2008,,3725,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,EL,Greece,2009,,3726,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,EL,Greece,2010,,3672,,,,,
dataflow,ESTAT:CRIM_JUST_JOB(1.0),Personnel in the criminal justice system by sex,A,Annual,OC2612A,Professional judges,T,Total,NR,Number,EL,Greece,2011,,3647,,,,,
